Year,Matchday,Team_1,Team_2,Day,Stadium,Time,Referee,A_Referee_1,A_Referee_2,4_official,VAR_official,AVAR_official,Gls_T1,Gls_T2,FR,Coach_T1,Coach_T2,Fmt_T1,Fmt_T2,Ptt,Ptr,Ptp,Ptt_T1,Pt_DH_T1,Pt_OH_T1,Ptt_T2,Pt_DH_T2,Pt_OH_T2,Pt_0_15_T1,Pt_16_30_T1,Pt_31_HT_T1,Pt_45_60_T1,Pt_61_75_T1,Pt_76_FT_T1,Pt_0_15_T2,Pt_16_30_T2,Pt_31_HT_T2,Pt_45_60_T2,Pt_61_75_T2,Pt_76_FT_T2,Atp_T1,Atp_T2,Atp_on_T1,Atp_on_T2,Atp_on_sp_T1,Atp_on_sp_T2,Atp_on_fk_T1,Atp_on_fk_T2,Atp_on_pb_T1,Atp_on_pb_T2,Post_T1,Post_T2,Atp_off_T1,Atp_off_T2,Svs_T1,Svs_T2,Blck_shts_T1,Blck_shts_T2,Scr_chc_T1,Scr_chc_T2,Ast_T1,Ast_T2,Off_T1,Off_T2,Drbbl_T1,Drbbl_T2,Crn_T1,Crn_T2,FlsC_T1,FlsC_T2,Pss_Cmpl_T1,Pss_Cmpl_T2,Pss_Cmpl_Perc_T1,Pss_Cmpl_Perc_T2,Pss_Fnl_Thr_T1,Pss_Fnl_Thr_T2,Frwd_Pss_T1,Frwd_Pss_T2,Bck_Pss_T1,Bck_Pss_T2,Crs_Suc_Atp_T1,Crs_Suc_Atp_T2,Lng_Pss_T1,Lng_Pss_T2,Key_Pss_T1,Key_Pss_T2,Rcv_Bls_T1,Rcv_Bls_T2,Pnt_T1,Pnt_T2,Dst_c_T1,Dst_j_T1,Dst_r_T1,Dst_s_T1,Dst_c_T2,Dst_j_T2,Dst_r_T2,Dst_s_T2,Avg_Spd_T1,Avg_Spd_T2,Atk_l_T1,Atk_c_T1,Atk_r_T1,Atk_l_T2,Atk_c_T2,Atk_r_T2,Blls_Plyd_T1,Blls_Plyd_Def_T1,Blls_Plyd_Mid_T1,Blls_Plyd_Atk_T1,Blls_Plyd_T2,Blls_Plyd_Def_T2,Blls_Plyd_Mid_T2,Blls_Plyd_Atk_T2,Tch_Def_Top_Left_T1,Tch_Def_Top_Ctr_Left_T1,Tch_Def_Top_Ctr_Right_T1,Tch_Def_Top_Right_T1,Tch_Def_Btm_Left_T1,Tch_Def_Btm_Ctr_Left_T1,Tch_Def_Btm_Ctr_Right_T1,Tch_Def_Btm_Right_T1,Tch_Mid_Top_Left_T1,Tch_Mid_Top_Ctr_Left_T1,Tch_Mid_Top_Ctr_Right_T1,Tch_Mid_Top_Right_T1,Tch_Mid_Btm_Left_T1,Tch_Mid_Btm_Ctr_Left_T1,Tch_Mid_Btm_Ctr_Right_T1,Tch_Mid_Btm_Right_T1,Tch_Atk_Top_Left_T1,Tch_Atk_Top_Ctr_Left_T1,Tch_Atk_Top_Ctr_Right_T1,Tch_Atk_Top_Right_T1,Tch_Atk_Btm_Left_T1,Tch_Atk_Btm_Ctr_Left_T1,Tch_Atk_Btm_Ctr_Right_T1,Tch_Atk_Btm_Right_T1,Tch_Def_Top_Left_T2,Tch_Def_Top_Ctr_Left_T2,Tch_Def_Top_Ctr_Right_T2,Tch_Def_Top_Right_T2,Tch_Def_Btm_Left_T2,Tch_Def_Btm_Ctr_Left_T2,Tch_Def_Btm_Ctr_Right_T2,Tch_Def_Btm_Right_T2,Tch_Mid_Top_Left_T2,Tch_Mid_Top_Ctr_Left_T2,Tch_Mid_Top_Ctr_Right_T2,Tch_Mid_Top_Right_T2,Tch_Mid_Btm_Left_T2,Tch_Mid_Btm_Ctr_Left_T2,Tch_Mid_Btm_Ctr_Right_T2,Tch_Mid_Btm_Right_T2,Tch_Atk_Top_Left_T2,Tch_Atk_Top_Ctr_Left_T2,Tch_Atk_Top_Ctr_Right_T2,Tch_Atk_Top_Right_T2,Tch_Atk_Btm_Left_T2,Tch_Atk_Btm_Ctr_Left_T2,Tch_Atk_Btm_Ctr_Right_T2,Tch_Atk_Btm_Right_T2,K_Ply_T1,K_Ply_Nbr_T1,K_Ply_T2,K_Ply_Nbr_T2,Odd_T1,Odd_D,Odd_T2
2020-2021,28,SAMPDORIA,TORINO,21/03/2021,LUIGI FERRARIS STADIUM,15:00,DANIELE  ORSATO,FABIANO  PRETI,VALENTINO  FIORITO,VALERIO  MARINI,MASSIMILIANO  IRRATI,SERGIO RANGHETTI,1,0,H,CLAUDIO RANIERI,DAVIDE NICOLA,4-4-2,3-5-2,96'03,51'42,54%,19'51 (38%),13'05 (66%),6'46 (34%),31'51 (62%),16'36 (52%),15'15 (48%),3'31,3'31,4'03,2'21,2'14,4'11,5'05,5'02,5'28,5'13,4'30,6'33,7,9,5(1),1(0),0,0,0,0,3,1,0,0,2,4,0,4,0,4,5,2,1,0,2,3,5,15,1,7,15,18,198,425,66%,82%,46,112,101,205,NODATA,NODATA,1/9,8/33,17,35,2,2,60,45,0 (0),0 (0),108.484,29.535,70.304,8.645,107.488,29.292,69.959,8.237,6.6,6.5,10 (38%),6 (24%),10 (38%),15 (42%),12 (33%),9 (25%),559,225,228,106,796,249,333,214,14,49,42,9,23,31,37,20,27,39,23,30,26,25,27,31,29,15,12,18,8,5,10,9,12,26,33,10,30,44,49,45,39,41,74,37,34,30,48,30,36,39,31,39,21,12,19,17,ANTONIO CANDREVA,87,ANDREA BELOTTI,9,2.37,3.3,3
2020-2021,28,UDINESE,LAZIO,21/03/2021,DACIA ARENA - STADIO FRIULI STADIUM,15:00,FABIO  MARESCA,CIRO  CARBONE,VITO  MASTRODONATO,MARCO  PICCININI,LUIGI  NASCA,ALESSIO TOLFO,0,1,A,LUCA GOTTI,SIMONE INZAGHI,3-5-1-1,3-5-2,97'10,54'05,56%,27'22 (51%),14'56 (55%),12'26 (45%),26'43 (49%),15'25 (58%),11'18 (42%),3'23,2'41,4'42,5'08,4'08,7'19,4'46,5'22,5'23,3'59,5'08,2'05,14,16,6(0),8(1),1,0,0,0,3,3,1,1,7,4,6,5,1,4,6,6,0,0,0,3,8,4,6,11,9,13,374,379,84%,85%,89,70,198,191,NODATA,NODATA,8/19,4/8,20,33,9,4,49,37,0 (0),0 (0),110.896,27.861,73.2,9.835,115.326,25.808,78.919,10.599,6.8,7,10 (26%),9 (23%),20 (51%),18 (43%),11 (26%),13 (31%),684,223,300,161,662,208,335,119,15,35,39,4,21,30,49,30,19,31,42,39,26,58,47,38,22,28,43,23,15,7,16,7,10,34,51,4,12,26,46,25,24,51,45,30,37,56,40,52,15,21,20,19,7,6,19,12,RODRIGO DE PAUL,10,ADAM MARUSIC,77,3.6,3.25,2.15
2020-2021,28,FIORENTINA,MILAN,21/03/2021,ARTEMIO FRANCHI STADIUM,18:00,MARCO  GUIDA,MATTEO  PASSERI,LUIGI  ROSSI,ANTONIO  DI MARTINO,DAVIDE  MASSA,RODOLFO DI VUOLO,2,3,A,CESARE PRANDELLI,STEFANO PIOLI,4-4-1-1,4-2-3-1,96’01,55’39,58%,22’42 (41%),10’21 (46%),12’21 (54%),32’57 (59%),19’31 (59%),13’26 (41%),2’36,4’17,3’47,3’18,3’00,5’44,5’31,4’57,5’45,4’49,6’10,5’45,9,14,4(2),6(3),2,2,1,0,3,5,1,2,4,5,1,2,1,3,5,7,1,2,1,1,4,6,8,8,6,11,259,432,79%,86%,98,114,176,233,NODATA,NODATA,3/13,5/13,23,41,2,3,47,47,0 (0),0 (0),108.959,28.451,70.532,9.976,107.458,26.88,70.291,10.287,6.7,6.6,7 (28%),14 (56%),4 (16%),10 (29%),17 (50%),7 (21%),551,163,215,173,746,232,342,172,10,32,30,3,17,41,20,10,18,30,24,9,33,36,41,24,29,34,35,30,15,8,6,16,10,41,32,10,23,42,48,26,28,56,44,43,20,36,54,61,21,34,35,40,9,8,16,9,FRANCK RIBERY,7,HAKAN CALHANOGLU,10,3.6,3.4,2.1
2020-2021,28,ROMA,NAPOLI,21/03/2021,OLIMPICO STADIUM,20:45,MARCO  DI BELLO,GIORGIO  PERETTI,GIACOMO  PAGANESSI,GIOVANNI  AYROLDI,ALEANDRO  DI PAOLO,DARIO CECCONI,0,2,A,PAULO FONSECA,GENNARO GATTUSO,3-4-2-1,4-2-3-1,96'02,59'49,62%,31'55 (53%),16'40 (52%),15'15 (48%),27'54 (47%),18'07 (65%),9'47 (35%),3'39,4'01,5'58,5'15,4'58,8'04,7'39,4'56,3'48,4'53,3'14,3'24,7,10,5(0),5(2),0,0,0,1,4,4,1,0,2,3,3,4,0,2,4,4,0,1,1,2,17,9,6,4,18,13,479,428,88%,86%,121,74,231,161,NODATA,NODATA,6/16,1/6,33,33,3,2,20,38,0 (0),0 (0),113.988,25.844,76.859,11.285,118.229,24.439,82.642,11.148,7,7.3,26 (54%),9 (19%),13 (27%),22 (51%),12 (28%),9 (21%),751,256,301,194,702,276,311,115,13,47,50,10,29,45,39,23,23,35,52,35,25,54,36,41,28,28,34,37,21,5,15,26,25,54,47,15,22,47,39,27,41,37,47,52,45,21,31,37,13,21,15,27,7,6,13,13,RICK KARSDORP,2,DRIES MERTENS,14,2.6,3.5,2.62
2020-2021,29,MILAN,SAMPDORIA,03/04/2021,GIUSEPPE MEAZZA STADIUM,12:30,MARCO  PICCININI,LUCA  MONDIN,MARCO  BRESMES,ANTONIO  RAPUANO,MASSIMILIANO  IRRATI,DAMIANO DI IORIO,1,1,D,STEFANO PIOLI,CLAUDIO RANIERI,4-2-3-1,4-4-2,96'35,50'19,52%,31'51 (63%),17'47 (56%),14'04 (44%),18'28 (37%),12'20 (67%),6'08 (33%),4'48,4'29,4'49,4'52,6'47,6'06,4'52,3'19,2'44,3'07,2'07,2'19,14,5,5(1),4(1),0,1,0,0,3,3,1,0,2,1,3,3,7,0,4,4,1,0,9,2,11,6,5,5,15,16,501,244,84%,73%,155,55,264,118,NODATA,NODATA,2/13,3/11,24,27,3,3,47,67,0 (0),0 (0),106.345,29.293,67.912,9.14,104.274,29.025,66.974,8.275,6.4,6.5,19 (48%),9 (22%),12 (30%),9 (30%),9 (30%),12 (40%),836,228,391,217,602,254,230,118,4,31,41,12,10,43,54,33,47,48,69,52,50,48,40,37,25,34,56,39,15,11,21,16,18,50,43,4,23,43,54,19,24,28,32,35,22,43,24,22,18,21,17,10,16,8,16,12,JENS PETTER HAUGE,15,FABIO QUAGLIARELLA,27,1.5,4.33,6.5
2020-2021,29,ATALANTA,UDINESE,03/04/2021,GEWISS STADIUM STADIUM,15:00,GIANLUCA  MANGANIELLO,LUIGI  ROSSI,ANTONIO  VONO,GIOVANNI  AYROLDI,DANIELE  ORSATO,GIORGIO PERETTI,3,2,H,GIAN PIERO GASPERINI,LUCA GOTTI,3-4-1-2,3-5-2,93'07,54'04,58%,26'11 (48%),11'12 (43%),14'59 (57%),27'53 (52%),20'27 (73%),7'26 (27%),4'59,4'06,4'19,6'41,2'47,3'19,4'02,3'35,4'20,2'43,4'47,8'24,22,8,11(3),4(2),0,0,1,0,8,4,0,0,7,1,2,8,4,3,8,3,3,2,1,1,7,12,4,1,15,9,501,316,85%,76%,201,60,319,136,NODATA,NODATA,3/9,3/7,33,20,5,0,32,42,0 (0),0 (0),110.03,28.548,73.223,8.259,110.845,27.493,73.589,9.763,6.8,7,13 (29%),20 (44%),12 (27%),5 (18%),9 (32%),14 (50%),857,166,389,302,704,331,261,112,8,15,36,11,18,34,28,16,32,54,70,43,49,47,46,48,46,73,69,40,17,24,26,7,17,73,54,8,33,72,43,31,27,37,43,21,33,30,40,30,30,23,21,5,18,9,4,2,LUIS MURIEL,9,ROBERTO PEREYRA,37,1.4,4.5,8
2020-2021,29,BENEVENTO,PARMA,03/04/2021,CIRO VIGORITO STADIUM,15:00,DAVIDE  MASSA,RODOLFO  DI VUOLO,PASQUALE  DE MEO,FEDERICO  DIONISI,MARCO  DI BELLO,STEFANO DEL GIOVANE,2,2,D,FILIPPO INZAGHI,ROBERTO D'AVERSA,3-5-2,4-3-3,98'55,50'19,51%,16'22 (33%),9'54 (60%),6'28 (40%),33'57 (67%),16'52 (50%),17'05 (50%),2'42,3'14,3'18,2'23,2'12,2'33,5'36,5'31,6'14,7'00,4'25,5'11,4,15,4(2),7(2),1,1,0,0,4,5,0,0,0,7,5,2,0,1,3,7,2,1,1,4,7,11,3,3,21,18,164,515,64%,85%,30,117,67,270,NODATA,NODATA,0/0,5/15,10,38,1,6,56,43,0 (0),0 (0),107.75,29.289,70.377,8.084,107.138,30.401,69.171,7.566,6.5,6.4,8 (36%),5 (23%),9 (41%),18 (58%),4 (13%),9 (29%),474,193,205,76,820,200,427,193,5,19,41,1,25,51,31,20,24,50,38,13,18,19,15,28,11,5,19,15,10,5,6,5,6,20,39,6,32,37,44,16,51,68,63,42,32,53,64,54,19,30,44,50,4,16,22,8,ARTUR IONITA,29,DENNIS MAN,98,2.62,3.3,2.7
2020-2021,29,CAGLIARI,HELLAS VERONA,03/04/2021,SARDEGNA ARENA STADIUM,15:00,DANIELE  DOVERI,ALESSANDRO  COSTANZO,ALESSIO  TOLFO,VALERIO  MARINI,LUIGI  NASCA,ALESSANDRO LO CICERO,0,2,A,LEONARDO SEMPLICI,IVAN JURIC,3-5-2,3-4-2-1,99’36,38’13,38%,20’59 (55%),12’41 (60%),8’18 (40%),17’14 (45%),8’10 (47%),9’04 (53%),3’23,1’40,2’56,3’21,3’38,6’01,2’37,3’16,3’00,3’14,2’31,2’36,15,9,4(0),5(2),0,0,0,1,2,3,1,1,9,2,3,3,2,2,9,5,0,2,1,3,1,4,6,5,17,18,267,296,71%,71%,71,108,156,195,NODATA,NODATA,8/16,3/9,36,26,6,2,57,52,0 (0),0 (0),101.523,28.372,65.084,8.067,100.345,25.979,65.029,9.337,6.5,6.8,9 (32%),9 (32%),10 (36%),14 (45%),13 (42%),4 (13%),641,209,285,147,635,192,284,159,17,31,23,12,45,30,35,16,35,38,53,25,23,46,39,26,17,20,35,18,15,9,28,5,6,53,24,4,19,33,28,25,24,26,39,37,29,32,44,53,25,19,16,40,16,10,18,15,JOAO PEDRO,10,KEVIN LASAGNA,92,2.5,3.3,2.8
2020-2021,29,GENOA,FIORENTINA,03/04/2021,LUIGI FERRARIS STADIUM,15:00,FABIO  MARESCA,GAMAL  MOKHTAR,VALERIO  VECCHI,FRANCESCO  FOURNEAU,LUCA  BANTI,ALBERTO TEGONI,1,1,D,DAVIDE BALLARDINI,GIUSEPPE IACHINI,3-5-2,3-5-2,95'07,51'59,55%,28'33 (55%),15'21 (54%),13'12 (46%),23'26 (45%),13'31 (58%),9'55 (42%),3'09,4'06,4'31,4'53,5'08,6'46,3'51,5'47,4'28,3'00,3'29,2'51,8,11,2(1),3(1),0,1,0,0,2,2,1,0,4,6,2,0,2,2,2,3,1,1,4,0,5,7,4,2,17,10,429,333,84%,83%,94,90,210,169,NODATA,NODATA,4/14,3/8,28,26,1,2,36,42,0 (0),0 (0),103.792,28.053,68.947,6.792,97.648,26.348,63.845,7.455,6.5,6.6,16 (35%),16 (35%),14 (30%),11 (37%),12 (40%),7 (23%),708,224,339,145,615,224,242,149,23,33,24,12,20,41,54,17,31,55,47,50,50,35,30,41,26,18,27,35,9,11,11,8,3,43,32,4,33,42,42,25,25,34,35,20,31,49,29,19,24,36,18,30,8,5,10,18,MATTIA DESTRO,23,DUSAN VLAHOVIC,9,3.3,3,2.37
2020-2021,29,LAZIO,SPEZIA,03/04/2021,OLIMPICO STADIUM,15:00,ANTONIO  GIUA,DARIO  CECCONI,MATTIA  SCARPA,DAVIDE  GHERSINI,MARCO  GUIDA,STEFANO LIBERTI,2,1,H,SIMONE INZAGHI,VINCENZO ITALIANO,3-5-2,4-3-3,98'56,53'02,54%,25'46 (49%),18'25 (71%),7'21 (29%),27'16 (51%),17'24 (64%),9'52 (36%),4'09,4'35,3'54,4'05,3'51,5'11,3'55,3'56,6'10,4'23,4'18,4'34,11,7,5(2),3(1),0,0,1,0,5,3,0,0,5,3,1,3,1,1,6,5,1,1,7,3,8,7,3,4,18,21,389,362,81%,78%,52,56,110,162,NODATA,NODATA,0/0,5/9,31,43,2,3,30,31,1 (1),0 (0),104.667,24.169,70.734,9.764,101.472,24.957,67.462,9.053,7,6.7,16 (34%),12 (26%),19 (40%),15 (30%),17 (34%),18 (36%),714,311,301,102,689,235,339,115,15,44,39,12,27,54,69,51,30,48,59,48,24,25,35,32,10,21,26,14,13,6,10,2,3,34,32,9,26,52,53,26,38,43,40,38,52,54,46,28,22,26,23,9,8,7,11,9,FELIPE CAICEDO,20,DANIELE VERDE,31,1.4,4.75,7
2020-2021,29,NAPOLI,CROTONE,03/04/2021,Diego Armando MARADONA STADIUM,15:00,ANTONIO  DI MARTINO,GIOVANNI  BACCINI,ALESSIO  BERTI,IVANO  PEZZUTO,ROSARIO  ABISSO,ALESSANDRO GIALLATINI,4,3,H,GENNARO GATTUSO,SERSE COSMI,4-2-3-1,3-5-2,93'59,53'17,57%,33'14 (62%),15'39 (47%),17'35 (53%),20'03 (38%),14'24 (72%),5'39 (28%),5'27,5'20,5'53,4'41,6'58,4'55,3'14,4'31,3'18,3'19,2'34,3'07,28,8,11(4),4(3),0,0,1,0,7,4,1,0,13,1,1,6,4,3,10,4,3,2,2,2,9,13,4,6,5,17,585,291,90%,80%,136,41,316,99,NODATA,NODATA,1/7,3/8,38,19,5,0,39,32,0 (0),0 (0),113.868,26.966,77,9.902,113.884,25.618,79.996,8.27,7,7.1,16 (38%),9 (22%),17 (40%),7 (27%),7 (27%),12 (46%),865,185,469,211,562,243,229,90,3,19,33,11,13,31,55,20,43,74,82,49,43,58,65,55,32,42,40,31,14,29,12,11,9,34,62,9,28,40,43,18,39,47,30,25,24,21,21,22,17,22,9,11,10,9,8,4,LORENZO INSIGNE,24,SIMY,25,1.22,6,14
2020-2021,29,SASSUOLO,ROMA,03/04/2021,MAPEI STADIUM STADIUM,15:00,LUCA  PAIRETTO,MAURO  VIVENZI,SERGIO  RANGHETTI,ALESSANDRO  PRONTERA,GIANLUCA  AURELIANO,FABIANO PRETI,2,2,D,ROBERTO DE ZERBI,PAULO FONSECA,4-2-3-1,3-4-2-1,93'25,61'57,66%,40'19 (65%),25'21 (63%),14'58 (37%),21'38 (35%),12'24 (57%),9'14 (43%),6'24,6'34,7'09,7'18,4'41,8'13,2'13,3'00,3'39,3'35,4'55,4'16,12,12,6(2),9(2),1,1,0,1,6,8,1,0,2,2,6,3,4,1,8,9,2,0,3,2,16,7,3,4,15,15,725,285,93%,83%,109,36,285,79,NODATA,NODATA,3/7,2/6,13,26,2,6,14,21,0 (0),1 (1),107.704,26.346,72.727,8.631,105.452,27.526,68.999,8.927,6.7,6.7,7 (23%),14 (47%),9 (30%),8 (36%),10 (46%),4 (18%),942,242,546,154,492,230,178,84,10,29,26,2,30,54,72,19,29,124,129,37,48,50,86,43,36,37,26,15,11,14,10,5,12,25,41,13,21,34,59,25,28,30,36,16,13,15,24,16,14,11,12,20,4,7,9,7,GIACOMO RASPADORI,18,BRUNO PERES,33,4.5,4.5,1.61
2020-2021,29,TORINO,JUVENTUS,03/04/2021,OLIMPICO GRANDE TORINO STADIUM,18:00,MICHAEL  FABBRI,FILIPPO  MELI,STEFANO  ALASSIO,JUAN LUCA  SACCHI,PAOLO SILVIO  MAZZOLENI,GIACOMO PAGANESSI,2,2,D,DAVIDE NICOLA,ANDREA PIRLO,3-4-1-2,4-4-2,95'08,48'07,51%,16'27 (34%),8'11 (50%),8'16 (50%),31'40 (66%),12'41 (40%),18'59 (60%),2'54,4'05,2'57,2'02,1'47,2'42,5'48,3'55,6'55,5'20,5'01,4'40,10,18,7(2),9(2),0,0,1,0,4,8,1,1,2,7,6,4,1,2,7,10,0,2,0,1,8,14,5,6,16,15,182,535,75%,91%,32,117,77,336,NODATA,NODATA,2/10,13/21,18,22,3,9,59,40,0 (0),0 (0),106.363,27.469,70.575,8.319,102.532,28.064,66.16,8.308,6.5,6.3,4 (18%),12 (55%),6 (27%),18 (44%),5 (12%),18 (44%),477,207,179,91,836,179,437,220,7,44,47,18,13,32,33,13,23,29,33,16,27,12,16,23,15,10,16,11,14,9,12,4,2,16,41,11,14,34,41,20,26,69,52,18,54,71,83,64,31,56,21,35,20,17,32,8,ANTONIO SANABRIA,19,FEDERICO CHIESA,22,6,4.5,1.5
2020-2021,29,BOLOGNA,INTER,03/04/2021,RENATO DALL'ARA STADIUM,20:45,PIERO  GIACOMELLI,VALENTINO  FIORITO,MAURO  GALETTO,LIVIO  MARINELLI,ALEANDRO  DI PAOLO,MATTEO PASSERI,0,1,A,SINISA MIHAJLOVIC,ANTONIO CONTE,4-2-3-1,3-5-2,96'41,61'05,63%,33'14 (54%),17'48 (54%),15'26 (46%),27'51 (46%),20'46 (75%),7'05 (25%),6'34,5'51,5'14,4'26,3'24,7'44,4'46,5'29,3'39,5'38,4'31,3'48,12,12,3(0),5(1),0,0,0,1,2,3,0,1,6,5,3,3,3,2,2,4,0,0,0,2,11,4,4,4,17,15,466,344,85%,80%,112,73,264,154,NODATA,NODATA,4/12,5/8,27,22,2,3,35,34,0 (0),0 (0),112.558,28.758,73.698,10.102,112.881,27.422,75.693,9.766,6.8,6.7,13 (28%),15 (33%),18 (39%),9 (24%),16 (44%),12 (32%),794,230,375,189,667,216,319,132,5,36,46,16,15,28,46,38,32,47,47,28,59,39,82,41,34,26,53,29,19,12,7,9,7,26,48,17,14,42,43,19,26,46,57,56,44,38,24,28,21,34,17,12,14,18,12,4,NICOLA SANSONE,10,ROMELU LUKAKU,9,7.5,4.5,1.44
2020-2021,30,SPEZIA,CROTONE,10/04/2021,ALBERTO PICCO STADIUM,15:00,SIMONE  SOZZA,DOMENICO  PALERMO,FILIPPO  BERCIGLI,MARCO  PICCININI,LUCA  BANTI,ALESSANDRO GIALLATINI,3,2,H,VINCENZO ITALIANO,SERSE COSMI,4-3-3,3-5-2,97'32,56'52,58%,31'46 (56%),16'06 (51%),15'40 (49%),25'06 (44%),16'11 (64%),8'55 (36%),6'11,3'28,4'08,6'52,5'43,5'24,6'27,5'27,3'02,4'15,3'21,2'34,9,9,7(3),6(2),0,0,0,0,5,6,1,0,1,1,3,2,1,2,5,6,2,2,3,3,12,11,3,4,12,15,475,290,84%,77%,108,59,238,101,NODATA,NODATA,6/17,1/6,60,27,2,4,28,51,0 (0),0 (0),97.825,22.371,67.181,8.273,104.866,24.363,72.904,7.599,6.8,6.8,15 (37%),9 (22%),17 (41%),8 (26%),9 (29%),14 (45%),793,232,376,185,602,266,224,112,8,26,30,17,40,32,51,28,31,61,58,29,34,54,62,47,37,19,27,43,19,16,12,12,8,44,40,19,21,51,56,27,9,43,60,25,15,16,37,19,19,26,13,13,11,13,11,6,MARTIN ERLIC,28,SIMY,25,1.75,4.2,4
2020-2021,30,PARMA,MILAN,10/04/2021,ENNIO TARDINI STADIUM,18:00,FABIO  MARESCA,GIACOMO  PAGANESSI,VALENTINO  FIORITO,GIOVANNI  AYROLDI,PAOLO SILVIO  MAZZOLENI,FABIANO PRETI,1,3,A,ROBERTO D'AVERSA,STEFANO PIOLI,4-3-3,4-2-3-1,95'08,54'50,58%,33'35 (61%),18'45 (56%),14'50 (44%),21'15 (39%),12'43 (60%),8'32 (40%),4'26,6'32,3'46,5'31,6'04,7'16,4'47,5'06,5'36,3'15,0'43,1'48,15,11,5(1),7(3),0,0,0,0,4,4,0,0,7,2,4,4,3,2,3,3,1,3,1,0,6,12,7,3,14,11,479,340,88%,84%,111,76,257,151,NODATA,NODATA,11/21,1/4,33,20,1,0,38,38,0 (0),0 (0),108.273,27.417,72.706,8.15,104.501,27.469,68.435,8.597,6.6,6.7,11 (33%),9 (28%),13 (39%),12 (41%),10 (35%),7 (24%),796,242,375,179,639,244,254,141,17,30,37,4,26,68,48,12,34,47,67,40,28,47,64,48,35,25,25,32,17,22,12,11,19,32,51,4,24,55,43,16,27,45,39,29,26,24,37,27,15,23,34,29,9,3,15,13,RICCARDO GAGLIOLO,7,FRANK KESSIE,79,5.25,3.75,1.66
2020-2021,30,UDINESE,TORINO,10/04/2021,DACIA ARENA - STADIO FRIULI STADIUM,20:45,DANIELE  DOVERI,STEFANO  LIBERTI,MAURO  GALETTO,FABRIZIO  PASQUA,MASSIMILIANO  IRRATI,DANIELE BINDONI,0,1,A,LUCA GOTTI,DAVIDE NICOLA,3-5-1-1,3-4-1-2,95'14,48'42,51%,32'20 (66%),16'22 (51%),15'58 (49%),16'22 (34%),11'17 (69%),5'05 (31%),6'55,6'19,4'54,5'07,4'40,4'25,2'26,4'04,2'14,2'29,1'21,3'48,12,9,5(0),2(1),2,0,0,1,3,2,0,0,5,7,0,4,2,0,6,4,0,0,2,1,10,7,5,4,21,19,495,238,88%,77%,112,51,260,107,NODATA,NODATA,5/16,6/10,21,15,3,3,31,50,0 (0),1 (1),104.697,29.324,66.932,8.441,106.124,28.433,70.452,7.239,6.5,6.5,8 (28%),9 (31%),12 (41%),3 (19%),9 (56%),4 (25%),792,200,390,202,527,218,206,103,3,19,27,13,22,43,41,32,43,42,60,38,55,47,55,50,43,37,36,24,21,19,13,9,11,38,47,12,16,36,41,17,22,32,24,44,20,22,20,22,22,13,19,14,20,5,6,4,RODRIGO DE PAUL,10,ANDREA BELOTTI,9,2.4,3.3,3
2020-2021,30,INTER,CAGLIARI,11/04/2021,GIUSEPPE MEAZZA STADIUM,12:30,LUCA  PAIRETTO,FILIPPO  VALERIANI,DAVIDE  IMPERIALE,LUCA  MASSIMI,DAVIDE  MASSA,ALESSANDRO LO CICERO,1,0,H,ANTONIO CONTE,LEONARDO SEMPLICI,3-5-2,3-5-2,93'36,63'17,68%,31'10 (49%),12'18 (39%),18'52 (61%),32'07 (51%),19'11 (60%),12'56 (40%),6'03,4'57,4'33,6'14,4'41,4'42,5'44,4'35,7'29,3'33,4'42,6'04,15,8,8(1),2(0),1,0,0,0,5,0,1,0,3,2,2,6,4,4,5,0,1,0,2,1,5,12,5,0,10,12,557,460,91%,85%,182,62,366,202,NODATA,NODATA,3/11,3/10,29,37,4,0,37,59,0 (0),0 (0),116.182,26.727,82.547,6.908,113.275,27.6,79.096,6.579,7,6.9,13 (32%),10 (24%),18 (44%),8 (36%),5 (23%),9 (41%),855,178,417,260,767,293,357,117,7,21,20,4,17,34,55,20,29,45,59,29,58,59,73,65,45,53,48,55,13,23,12,11,13,45,48,21,32,34,52,48,28,53,53,35,43,56,49,40,23,24,15,30,7,4,6,8,MATTEO DARMIAN,36,RADJA NAINGGOLAN,4,1.25,6,12
